,objectid,DATE,DAILY_ENTRIES,STATION_LINENAME
0,1.0,06/30/2019,11885.0,ASTOR PL6
1,1.0,07/01/2019,15344.0,ASTOR PL6
2,1.0,07/02/2019,15610.0,ASTOR PL6
3,1.0,07/03/2019,16549.0,ASTOR PL6
4,1.0,07/04/2019,15658.0,ASTOR PL6
5,1.0,07/05/2019,7102.0,ASTOR PL6
6,1.0,07/06/2019,11248.0,ASTOR PL6
7,1.0,07/07/2019,7557.0,ASTOR PL6
8,1.0,07/08/2019,7223.0,ASTOR PL6
9,1.0,07/09/2019,15264.0,ASTOR PL6
10,1.0,07/10/2019,16516.0,ASTOR PL6
11,1.0,07/11/2019,17205.0,ASTOR PL6
12,1.0,07/12/2019,17511.0,ASTOR PL6
13,1.0,07/13/2019,17630.0,ASTOR PL6
14,1.0,07/14/2019,11834.0,ASTOR PL6
15,1.0,07/15/2019,7860.0,ASTOR PL6
16,1.0,07/16/2019,15632.0,ASTOR PL6
17,1.0,07/17/2019,16962.0,ASTOR PL6
18,1.0,07/18/2019,17561.0,ASTOR PL6
19,1.0,07/19/2019,17191.0,ASTOR PL6
20,1.0,07/20/2019,14716.0,ASTOR PL6
21,1.0,07/21/2019,8961.0,ASTOR PL6
22,1.0,07/22/2019,7029.0,ASTOR PL6
23,1.0,07/23/2019,15109.0,ASTOR PL6
24,1.0,07/24/2019,15993.0,ASTOR PL6
25,1.0,07/25/2019,16230.0,ASTOR PL6
26,1.0,07/26/2019,16679.0,ASTOR PL6
27,1.0,07/27/2019,16426.0,ASTOR PL6
28,1.0,07/28/2019,10398.0,ASTOR PL6
29,1.0,07/29/2019,8094.0,ASTOR PL6
30,1.0,07/30/2019,15075.0,ASTOR PL6
31,1.0,07/31/2019,16127.0,ASTOR PL6
32,1.0,08/01/2019,16406.0,ASTOR PL6
33,1.0,08/02/2019,16801.0,ASTOR PL6
34,1.0,08/03/2019,15996.0,ASTOR PL6
35,1.0,08/04/2019,11093.0,ASTOR PL6
36,1.0,08/05/2019,8180.0,ASTOR PL6
37,1.0,08/06/2019,14664.0,ASTOR PL6
38,1.0,08/07/2019,15641.0,ASTOR PL6
39,1.0,08/08/2019,15937.0,ASTOR PL6
40,1.0,08/09/2019,16646.0,ASTOR PL6
41,1.0,08/10/2019,15662.0,ASTOR PL6
42,1.0,08/11/2019,10233.0,ASTOR PL6
43,1.0,08/12/2019,7785.0,ASTOR PL6
44,1.0,08/13/2019,13867.0,ASTOR PL6
45,1.0,08/14/2019,14920.0,ASTOR PL6
46,1.0,08/15/2019,14889.0,ASTOR PL6
47,1.0,08/16/2019,15436.0,ASTOR PL6
48,1.0,08/17/2019,14845.0,ASTOR PL6
49,1.0,08/18/2019,9381.0,ASTOR PL6
50,1.0,08/19/2019,6994.0,ASTOR PL6
51,1.0,08/20/2019,13126.0,ASTOR PL6
52,1.0,08/21/2019,14436.0,ASTOR PL6
53,1.0,08/22/2019,14554.0,ASTOR PL6
54,1.0,08/23/2019,15182.0,ASTOR PL6
55,1.0,08/24/2019,14784.0,ASTOR PL6
56,1.0,08/25/2019,9689.0,ASTOR PL6
57,1.0,08/26/2019,8460.0,ASTOR PL6
58,1.0,08/27/2019,13232.0,ASTOR PL6
59,1.0,08/28/2019,14961.0,ASTOR PL6
60,1.0,08/29/2019,14789.0,ASTOR PL6
61,1.0,08/30/2019,14901.0,ASTOR PL6
62,1.0,08/31/2019,14608.0,ASTOR PL6
63,1.0,09/01/2019,10505.0,ASTOR PL6
64,1.0,09/02/2019,9079.0,ASTOR PL6
65,1.0,09/03/2019,6981.0,ASTOR PL6
66,1.0,09/04/2019,16112.0,ASTOR PL6
67,1.0,09/05/2019,16740.0,ASTOR PL6
68,1.0,09/06/2019,17452.0,ASTOR PL6
69,1.0,09/07/2019,18309.0,ASTOR PL6
70,1.0,09/08/2019,11975.0,ASTOR PL6
71,1.0,09/09/2019,8942.0,ASTOR PL6
72,1.0,09/10/2019,16254.0,ASTOR PL6
73,1.0,09/11/2019,17777.0,ASTOR PL6
74,1.0,09/12/2019,17549.0,ASTOR PL6
75,1.0,09/13/2019,18734.0,ASTOR PL6
76,1.0,09/14/2019,17009.0,ASTOR PL6
77,1.0,09/15/2019,4342.0,ASTOR PL6
78,1.0,09/16/2019,3282.0,ASTOR PL6
79,1.0,09/17/2019,16229.0,ASTOR PL6
80,1.0,09/18/2019,17480.0,ASTOR PL6
81,1.0,09/19/2019,17868.0,ASTOR PL6
82,1.0,09/20/2019,17881.0,ASTOR PL6
83,1.0,09/21/2019,18920.0,ASTOR PL6
84,1.0,09/22/2019,11661.0,ASTOR PL6
85,1.0,09/23/2019,8600.0,ASTOR PL6
86,1.0,09/24/2019,16725.0,ASTOR PL6
87,1.0,09/25/2019,17971.0,ASTOR PL6
88,1.0,09/26/2019,18495.0,ASTOR PL6
89,1.0,09/27/2019,18533.0,ASTOR PL6
90,1.0,09/28/2019,18848.0,ASTOR PL6
91,1.0,09/29/2019,15495.0,ASTOR PL6
92,1.0,09/30/2019,11499.0,ASTOR PL6
93,1.0,10/01/2019,14972.0,ASTOR PL6
94,1.0,10/02/2019,16364.0,ASTOR PL6
95,1.0,10/03/2019,17229.0,ASTOR PL6
96,1.0,10/04/2019,18388.0,ASTOR PL6
97,1.0,10/05/2019,18722.0,ASTOR PL6
98,1.0,10/06/2019,12298.0,ASTOR PL6
99,1.0,10/07/2019,9596.0,ASTOR PL6
100,1.0,10/08/2019,17295.0,ASTOR PL6
101,1.0,10/09/2019,18257.0,ASTOR PL6
102,1.0,10/10/2019,16498.0,ASTOR PL6
103,1.0,10/11/2019,19262.0,ASTOR PL6
104,1.0,10/12/2019,19072.0,ASTOR PL6
105,1.0,10/13/2019,16191.0,ASTOR PL6
106,1.0,10/14/2019,12754.0,ASTOR PL6
107,1.0,10/15/2019,13614.0,ASTOR PL6
108,1.0,10/16/2019,17914.0,ASTOR PL6
109,1.0,10/17/2019,18835.0,ASTOR PL6
110,1.0,10/18/2019,20162.0,ASTOR PL6
111,1.0,10/19/2019,19458.0,ASTOR PL6
112,1.0,10/20/2019,12937.0,ASTOR PL6
113,1.0,10/21/2019,9316.0,ASTOR PL6
114,1.0,10/22/2019,16940.0,ASTOR PL6
