objectid,arrests
362.0,34
65.0,26
73.0,24
116.0,20
358.0,16
135.0,14
386.0,14
127.0,12
438.0,9
391.0,8
436.0,8
216.0,8
94.0,8
128.0,7
368.0,7
290.0,7
123.0,6
402.0,6
59.0,6
437.0,6
247.0,6
347.0,6
408.0,5
38.0,5
469.0,5
133.0,5
468.0,5
20.0,5
298.0,5
288.0,5
139.0,5
399.0,5
264.0,4
212.0,4
373.0,4
192.0,4
122.0,4
205.0,4
233.0,4
153.0,4
47.0,4
8.0,4
175.0,3
211.0,3
275.0,3
220.0,3
262.0,3
231.0,3
171.0,3
131.0,3
151.0,3
61.0,3
21.0,3
27.0,3
147.0,3
456.0,3
372.0,3
445.0,3
42.0,3
387.0,3
55.0,3
254.0,2
458.0,2
263.0,2
392.0,2
393.0,2
327.0,2
382.0,2
292.0,2
295.0,2
354.0,2
305.0,2
330.0,2
314.0,2
322.0,2
235.0,2
643.0,2
12.0,2
218.0,2
174.0,2
176.0,2
162.0,2
200.0,2
89.0,2
49.0,2
43.0,2
36.0,2
96.0,2
141.0,2
222.0,2
225.0,2
72.0,2
92.0,1
75.0,1
103.0,1
389.0,1
376.0,1
86.0,1
77.0,1
375.0,1
394.0,1
114.0,1
60.0,1
407.0,1
371.0,1
410.0,1
429.0,1
432.0,1
54.0,1
448.0,1
450.0,1
33.0,1
32.0,1
466.0,1
18.0,1
15.0,1
117.0,1
134.0,1
369.0,1
132.0,1
226.0,1
256.0,1
259.0,1
221.0,1
219.0,1
272.0,1
274.0,1
279.0,1
280.0,1
282.0,1
283.0,1
285.0,1
198.0,1
291.0,1
194.0,1
187.0,1
170.0,1
316.0,1
168.0,1
328.0,1
150.0,1
335.0,1
341.0,1
144.0,1
349.0,1
136.0,1
242.0,1
366.0,1
367.0,1
232.0,1
